"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"18","48.1441580555556","-122.754776944444","122.754776944444","47.1552928270261","47.1325681098538","12.7065120803627","0.876081885919223","0.876081885919223","13","16475","","Point Wilson Light","FD","48-08-38.969N","122-45-17.197W","Al RW 5s","Night","51","18","","White octagonal tower with a black roof, on top of a white building with a red roof.::49","",""
"18","48.1817455555556","-123.110260277778","123.110260277778","47.5113115822689","47.4884395543756","12.7955512049021","0.951591514441131","0.951591514441131","13","16335","","New Dungeness Light","FD","48-10-54.284N","123-06-36.937W","Fl W 5s","Night","67","18","","White conical tower on dwelling.::67","",""
"18","48.14001","-123.402421666667","123.402421666667","47.7899494172162","47.7666423347771","12.8042789275956","1.03868121842336","1.03868121842336","13","16280","","Ediz Hook Light","FD","48-08-24.036N","123-24-08.718W","Fl G (2)W 10s","Night","50","18","","On skeleton tower.::50","HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.075MHz). HORN will operate for 30 minutes.",""
"17","47.6619669444444","-122.4357025","122.4357025","46.7503644599184","46.7257827431607","12.1889343259051","0.556781236596588","0.556781236596588","13","16800","","West Point Light","FD","47-39-43.081N","122-26-08.529W","Al WR 10s","Night","27","17","","White octagonal cupola with red roof, on top of white square building.::30","HORN: 1 bl ev 10s (1s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 81A (157.0575 MHz). HORN will operate for 30 minutes.",""
"16","47.5762727777778","-122.420550555556","122.420550555556","46.7196258963359","46.6946758898901","12.1020843975517","0.51253686401036","0.51253686401036","13","16915","","Alki Point Light","FD","47-34-34.582N","122-25-13.982W","Fl W 5s","Night","39","16","","White octagonal tower with a gray cupola and red roof, attached to square white building.::45","",""
"14","47.3059102777778","-122.444263888889","122.444263888889","46.6939468187123","46.6677736090886","11.8361679357367","0.389914462717395","0.389914462717395","13","17090","","Browns Point Light","FD","47-18-21.277N","122-26-39.350W","Fl W 5s","Night","38","14","","White concrete tower.::35","Light obscured from 217?? to 002??.",""
"14","47.9121625","-122.526813333333","122.526813333333","46.8869321804275","46.8633825067014","12.4479075893158","0.709882790685681","0.709882790685681","13","16550","","Point No Point Light","FD","47-54-43.785N","122-31-36.528W","Fl (3)W 10s","Night","27","14","","Black octagonal tower atop a white building.::30","",""
"14","47.9487455555556","-122.306241666667","122.306241666667","46.6774408923586","46.6542469844389","12.460470539506","0.857739999622182","0.857739999622182","13","18460","","Mukilteo Light","FD","47-56-55.484N","122-18-22.470W","Fl W 5s","Night","33","14","","White octagonal tower with red roof, attached to white square building.::33","HORN: 1 blast ev 30s (3s bl). HORN is activated by keying the mic 5 times on VHF-FM Channel 83A (157.175MHz). HORN will operate for 30 minutes.",""
"14","48.3206577777778","-122.830958055556","122.830958055556","47.2646009195373","47.2425847472643","12.8916498386033","1.04911415990653","1.04911415990653","13","16375","","Smith Island Light","FD","48-19-14.368N","122-49-51.449W","Fl W 10s","Night","55","14","","NB on skeleton tower, on mulit-pile structure.::50","",""
"13","48.224655","-122.769429166667","122.769429166667","47.1853772574668","47.1629939391176","12.7882409013297","0.955205180496151","0.955205180496151","13","16400","","Point Partridge Light","FD","48-13-28.758N","122-46-09.945W","Fl W 5s","Night","105","13","","NB on skeleton tower.::20","",""
